,name,family_index,per_family_instance_index,run_name,run_type,repetitions,repetition_index,threads,iterations,real_time,cpu_time,time_unit,dataset_bytes,dataset_elem_count,hashfn_bits_per_key,hashfn_bytes,items_per_second,label,hashfn,dataset,order
0,PresortedBuildTime<DoNothingHash>/100/0,0,0,PresortedBuildTime<DoNothingHash>/100/0,iteration,1,0,1,1000000000,0.2609553337097168,0.260850749,ns,800.0,100.0,0.0,0.0,383.36098471390625,DoNothingHash:seq,DoNothingHash,seq,1
5,PresortedBuildTime<DoNothingHash>/100/2,0,5,PresortedBuildTime<DoNothingHash>/100/2,iteration,1,0,1,1000000000,0.25767274759709835,0.2575855450000013,ns,800.0,100.0,0.0,0.0,388.2205424221281,DoNothingHash:uniform,DoNothingHash,uniform,1
10,PresortedBuildTime<DoNothingHash>/100/3,0,10,PresortedBuildTime<DoNothingHash>/100/3,iteration,1,0,1,1000000000,0.25801535323262215,0.25792931400000185,ns,800.0,100.0,0.0,0.0,387.7031208635684,DoNothingHash:fb,DoNothingHash,fb,1
161,LookupTime<DoNothingHash>/100/0,0,0,LookupTime<DoNothingHash>/100/0,iteration,1,0,1,58995196,10.38322669309497,10.379669829387463,ns,800.0,100.0,0.0,0.0,,DoNothingHash:seq,DoNothingHash,seq,1
168,LookupTime<DoNothingHash>/100/2,0,7,LookupTime<DoNothingHash>/100/2,iteration,1,0,1,67426970,10.373823774936803,10.369920834348722,ns,800.0,100.0,0.0,0.0,,DoNothingHash:uniform,DoNothingHash,uniform,1
175,LookupTime<DoNothingHash>/100/3,0,14,LookupTime<DoNothingHash>/100/3,iteration,1,0,1,67465968,10.568250834415721,10.564879599741243,ns,800.0,100.0,0.0,0.0,,DoNothingHash:fb,DoNothingHash,fb,1
182,LookupTime<DoNothingHash>/100/4,0,21,LookupTime<DoNothingHash>/100/4,iteration,1,0,1,67350689,10.606298088653846,10.60165746782468,ns,800.0,100.0,0.0,0.0,,DoNothingHash:osm,DoNothingHash,osm,1
483,UnorderedBuildTime<DoNothingHash>/100/0,0,0,UnorderedBuildTime<DoNothingHash>/100/0,iteration,1,0,1,1000000000,0.26317842304706573,0.263081628,ns,800.0,100.0,0.0,0.0,380.11016109418324,DoNothingHash:seq,DoNothingHash,seq,1
490,UnorderedBuildTime<DoNothingHash>/100/2,0,7,UnorderedBuildTime<DoNothingHash>/100/2,iteration,1,0,1,1000000000,0.25765302777290344,0.2575585459999985,ns,800.0,100.0,0.0,0.0,388.26123828172484,DoNothingHash:uniform,DoNothingHash,uniform,1
497,UnorderedBuildTime<DoNothingHash>/100/3,0,14,UnorderedBuildTime<DoNothingHash>/100/3,iteration,1,0,1,1000000000,0.25803885981440544,0.2579450110000039,ns,800.0,100.0,0.0,0.0,387.67952755635383,DoNothingHash:fb,DoNothingHash,fb,1
